#Solid temperature at x [m] from FDM
#time [s]	x=2.5	x=5	x=7.5	x=10
13200.0	413.95467719981514	458.13047132812454	501.39645142138755	541.9662327101008
13260.0	413.9720939325657	458.1767032284769	501.4863880149497	542.1148468449582
13320.0	413.98916030559116	458.22204372454235	501.5746815599091	542.260910117368
13380.0	414.00588362776733	458.2665099984846	501.6613610707976	542.4044634620452
13440.0	414.02227104754166	458.3101189050708	501.74645507971627	542.5455472329542
13500.0	414.0383295566969	458.35288696981087	501.82999164353157	542.6842012083156
13560.0	414.05406599396366	458.3948304100371	501.91199835094545	542.8204645971732
13620.0	414.0694870485721	458.43596512254703	501.9925023294164	542.9543760459782
13680.0	414.0845992656279	458.4763067074311	502.07153025218645	543.0859736447521
13740.0	414.0994090460859	458.5158704599855	502.1491083450169	543.2152949329661
13800.0	414.1139226496184	458.55467138246536	502.22526239292966	543.3423769058428
13860.0	414.12814620130115	458.5927241944712	502.30001774692835	543.4672560215283
13920.0	414.14208569709206	458.63004332518074	502.3733993331899	543.5899682054929
13980.0	414.15574699832575	458.6666429299872	502.44543165217993	543.7105488579839
14040.0	414.1691358379689	458.702536892501	502.51613879180303	543.8290328599273
14100.0	414.18225783403034	458.73773883134567	502.58554443346577	543.9454545787283
14160.0	414.19511847187255	458.7722620993554	502.6536718565105	544.0598478744072
14220.0	414.2077231266748	458.80611979393325	502.7205439406776	544.1722461055846
14280.0	414.22007705474806	458.83932476087455	502.7861831825844	544.2826821353771
14340.0	414.23218539966405	458.8718895987471	502.85061168906986	544.391188338324
14400.0	414.2440531948032	458.9038266635487	502.91385119378197	544.4977966040536
14460.0	414.25568536704515	458.9351480733357	502.9759230560478	544.6025383462367
14520.0	414.2670867320658	458.9658657127607	503.03684827169684	544.7054445054305
14580.0	414.2782620148772	458.995991237477	503.0966474725651	544.8065455568152
14640.0	414.2892158236987	459.02553607856515	503.1553409429304	544.9058715155072
14700.0	414.29995267869464	459.05451144675624	503.2129486093869	545.0034519419206
14760.0	414.31047700543553	459.0829283391922	503.26949006122106	545.0993159478238
14820.0	414.3207931258734	459.1107975370743	503.3249845500854	545.1934922018319
14880.0	414.3309052759159	459.1381296145117	503.3794509903463	545.2860089353404
14940.0	414.34081760534104	459.1649349421537	503.432907972213	545.3768939476033
15000.0	414.3505341702369	459.1912236930531	503.4853737646754	545.4661746112837
15060.0	414.3600589405537	459.2170058426023	503.5368663197194	545.5538778787401
