"Time"	"convect"	"energy"	"energyRef"
7680	1.5936917273085	202075.70651949	26861.706519495
7710	1.5857522358482	202123.12540631	26909.125406309
7740	1.5778742408201	202170.30800646	26956.308006455
7770	1.5700525746839	202217.25910264	27003.259102635
7800	1.562282376006	202263.976507	27049.976507004
7830	1.5545590230323	202310.46149153	27096.46149153
7860	1.5468781432182	202356.71863539	27142.718635391
7890	1.5392355226759	202402.74600517	27188.746005169
7920	1.5316272271823	202448.54756949	27234.547569493
7950	1.5240494318052	202494.12266695	27280.122666945
7980	1.5164984998892	202539.47094137	27325.470941368
8010	1.5089709074654	202584.59458061	27370.594580609
8040	1.5014633251598	202629.49653572	27415.496535725
8070	1.4939724813673	202674.17166785	27460.171667852
8100	1.4864953056361	202718.62526851	27504.625268512
8130	1.4790287294134	202762.85570957	27548.855709569
8160	1.4715698321374	202806.86365244	27592.863652439
8190	1.4641158414955	202850.64848655	27636.648486555
8220	1.4566639012744	202894.2107207	27680.210720696
8250	1.4492114035127	202937.55228826	27723.552288261
8280	1.4417556759817	202980.67140848	27766.671408484
8310	1.4342942334845	203023.5661479	27809.566147902
8340	1.4268244587086	203066.23935583	27852.239355825
8370	1.4193440006622	203108.68889528	27894.688895281
8400	1.4118503904818	203150.91502069	27936.91502069
8430	1.4043412226017	203192.91808822	27978.918088216
8460	1.3968142866421	203234.69697851	28020.696978506
8490	1.3892671330845	203276.25077573	28062.250775733
8520	1.3816975824973	203317.57759734	28103.577597338
8550	1.3741033039386	203358.6794785	28144.679478504
8580	1.3664821379178	203399.55428225	28185.554282253
8610	1.3588317738842	203440.20063479	28226.200634786
8640	1.3511500823191	203480.61935018	28266.619350178
8670	1.3434348385931	203520.80645979	28306.806459791
8700	1.3356838134998	203560.76542346	28346.765423458
8730	1.3278949612586	203600.48988119	28386.489881194
8760	1.3200659088579	203639.97978211	28425.979782113
8790	1.3121946863567	203679.24001071	28465.240010712
8820	1.3042789140735	203718.26171387	28504.26171387
8850	1.2963166038449	203757.04713033	28543.047130328
8880	1.288305369425	203795.59371609	28581.593716092
8910	1.2802431317317	203833.89984302	28619.899843018
8940	1.2721276864792	203871.96652872	28657.966528721
8970	1.2639567040406	203909.78756583	28695.787565829
9000	1.2557281233016	203947.36463338	28733.364633377
9030	1.2474394370071	203984.69472942	28770.694729423
9060	1.2390886408603	204021.7771925	28807.7771925
9090	1.2306731639311	204058.60958039	28844.609580393
9120	1.2221908800673	204095.19001052	28881.190010522
9150	1.2136393113999	204131.51436165	28917.514361646
9180	1.2050160707764	204167.58436368	28953.584363676
9210	1.196318899766	204203.39375838	28989.393758383
9240	1.18754507117	204238.9435125	29024.943512503
9270	1.1786924143237	204274.22909773	29060.229097727
9300	1.1697580443641	204309.25127726	29095.251277261
9330	1.1607396635912	204344.00226647	29130.002266475
9360	1.1516344076924	204378.48506727	29164.485067268
9390	1.1424396643723	204412.69260731	29198.692607311
9420	1.1331528753078	204446.62641297	29232.626412971
9450	1.1237708284985	204480.28017514	29266.280175137
9480	1.1142911070493	204513.65140068	29299.651400679
9510	1.1047102528997	204546.73830881	29332.738308815
9540	1.0950256666295	204579.53942403	29365.539424027
9570	1.085233810984	204612.04858984	29398.048589841
9600	1.075331614497	204644.26387283	29430.263872828
9630	1.0653158819732	204676.18191491	29462.181914911
9660	1.055182684384	204707.79778074	29493.79778074
9690	1.0449288982505	204739.10907897	29525.109078965
9720	1.0345499045614	204770.1154534	29556.115453402
9750	1.0240359349845	204800.81130724	29586.811307242
9780	1.01340143785	204831.18692237	29617.186922367
9810	1.0026237361739	204861.24285845	29647.242858452
9840	0.99170405836909	204890.9765715	29676.976571498
9870	0.9806275653666	204920.3837367	29706.383736702
9900	0.96941574453015	204949.45585711	29735.455857114
9930	0.9580365025799	204978.19089754	29764.190897538
9960	0.94648134687429	205006.58661926	29792.586619261
9990	0.93477228725271	205034.62974261	29820.629742612
10020	0.92287019424964	205062.32337128	29848.323371284
10050	0.91072711831692	205089.66119618	29875.66119618
10080	0.8984725569549	205116.63385538	29902.633855376
10110	0.88595607052973	205143.23427657	29929.234276574
10140	0.87321861310296	205169.45945782	29955.459457817
10170	0.86024242137632	205195.30115655	29981.301156552
10200	0.84702066204392	205220.7472633	30006.747263297
10230	0.83353806107938	205245.79548848	30031.79548848
10260	0.81978246151214	205270.44155816	30056.441558164
10290	0.80571898753032	205294.66924166	30080.669241655
10320	0.79139686785217	205318.47558791	30104.475587914
10350	0.77672866380132	205341.85067536	30127.850675357
10380	0.76175218160262	205364.78071551	30150.780715506
10410	0.74642320917178	205387.25817813	30173.258178132
10440	0.73072257162845	205409.27186965	30195.271869647
10470	0.71465056211597	205430.81125786	30216.811257857
10500	0.69816722279249	205451.86611585	30237.866115854
10530	0.68126513667466	205472.42799755	30258.427997554
10560	0.66397008295122	205492.4753807	30278.4753807
10590	0.64622222044149	205511.99656291	30297.996562912
10620	0.62802220118685	205530.98533682	30316.98533682
10650	0.6094845239627	205549.42073986	30335.420739862
10680	0.59056969536139	205567.29971924	30353.29971924
10710	0.57121777208908	205584.61810276	30370.618102764
10740	0.55211973264481	205601.36230543	30387.362305433
10770	0.53323304565294	205617.53548178	30403.53548178
