Time,"Gradients:0","Gradients:1","Gradients:2","Gradients:3","Gradients:4","Gradients:5","Gradients:6","Gradients:7","Gradients:8","Points:0","Points:1","Points:2"
16980,0,0,0,0,0.0010841,0,0,0,0,0.005,0.1,0.005
17040,0,0,0,0,0.00098304,0,0,0,0,0.005,0.1,0.005
17100,0,0,0,0,0.00092202,0,0,0,0,0.005,0.1,0.005
17160,0,0,0,0,0.00084235,0,0,0,0,0.005,0.1,0.005
17220,0,0,0,0,0.00075976,0,0,0,0,0.005,0.1,0.005
17280,0,0,0,0,0.00068816,0,0,0,0,0.005,0.1,0.005
17340,0,0,0,0,0.00061613,0,0,0,0,0.005,0.1,0.005
17400,0,0,0,0,0.00054187,0,0,0,0,0.005,0.1,0.005
17460,0,0,0,0,0.00048609,0,0,0,0,0.005,0.1,0.005
17520,0,0,0,0,0.00041924,0,0,0,0,0.005,0.1,0.005
17580,0,0,0,0,0.00037412,0,0,0,0,0.005,0.1,0.005
17640,0,0,0,0,0.00031534,0,0,0,0,0.005,0.1,0.005
17700,0,0,0,0,0.00027566,0,0,0,0,0.005,0.1,0.005
17760,0,0,0,0,0.00023588,0,0,0,0,0.005,0.1,0.005
17820,0,0,0,0,0.00020428,0,0,0,0,0.005,0.1,0.005
17880,0,0,0,0,0.0001801,0,0,0,0,0.005,0.1,0.005
17940,0,0,0,0,0.00013716,0,0,0,0,0.005,0.1,0.005
18000,0,0,0,0,0.0001214,0,0,0,0,0.005,0.1,0.005
